id,label,prob_no,prob_intrinsic,prob_extrinsic
00113bc8-6f80-48bf-82b9-24565746ee61,intrinsic,0.0031585693,0.98828125,0.0066833496
00332e2d-30a0-49d4-a358-707570b554e7,extrinsic,0.04638672,0.021850586,0.93359375
0037391e-51f8-4487-a39c-a783eed36f04,extrinsic,0.007293701,0.037109375,0.95703125
0038fcda-6080-4803-8601-a8105e32484a,extrinsic,0.008666992,0.10595703,0.88671875
00522a85-c3b9-461c-8902-41c9426e886f,no,0.9921875,0.005218506,0.0010299683
00660949-1622-4cbf-873b-ec335d745bdf,extrinsic,0.79296875,0.083496094,0.12207031
006a5e3f-7761-436b-808c-e57293a96b03,extrinsic,0.01550293,0.025512695,0.95703125
007d6d5d-d296-432b-868b-ca9c8e1d6992,intrinsic,0.007751465,0.79296875,0.20019531
007ef1c3-c429-479e-a1bb-8d9ef370a618,intrinsic,0.008300781,0.9609375,0.029052734
008528e0-b410-4bd3-beff-a44dcf78a565,extrinsic,0.022460938,0.3984375,0.578125
008f4db1-ef3e-4971-92f6-ce58b936c1cb,intrinsic,0.012084961,0.9609375,0.025634766
0091b284-4699-4eb9-90b4-d65e853f25a0,intrinsic,0.0058898926,0.98828125,0.004058838
009471d3-cbd4-4d6f-b542-28124e24ae35,extrinsic,0.77734375,0.049560547,0.17382812
00968798-c01d-4e29-aaf4-2fa3d3df3e11,no,0.78515625,0.12060547,0.09375
009c78cd-9750-4c5e-8eb1-da2f534feb10,intrinsic,0.0032043457,0.890625,0.10644531
00a7f17e-8beb-4e28-8583-ac2754fe4728,no,0.921875,0.052001953,0.024658203
00b3a83e-170f-4f1d-aa1a-208ae9183f88,no,0.95703125,0.025512695,0.017578125
00ba4529-ac39-426b-b406-0f3312b558cc,no,0.98828125,0.0075683594,0.0027770996
00c5c43c-4768-492c-8419-d726625ab475,no,0.9921875,0.0058898926,0.0016937256
00daf357-0f97-4455-8731-11462f98d532,extrinsic,0.028198242,0.036376953,0.93359375
00e5c201-7e69-4d77-bdbf-680a25ca4550,no,0.99609375,0.0031738281,0.00062561035
00f0afe8-ca68-4ff5-82b4-af8dd0a58539,extrinsic,0.031982422,0.036132812,0.93359375
00f28fec-7a5d-444f-879e-9c5e6510fe89,extrinsic,0.001159668,0.00970459,0.98828125
00fb4429-df49-4e5c-ac95-82addb73df83,no,0.9765625,0.013916016,0.008483887
0100fc64-b9b9-4553-b803-5bff1f7cbf7d,intrinsic,0.18652344,0.30664062,0.5078125
011933a8-a5e9-40a2-b691-61ba4db53458,extrinsic,0.028564453,0.025268555,0.9453125
012be7f0-ee1a-4bac-9fd2-29b4b08fe04a,extrinsic,0.008422852,0.020141602,0.97265625
0138604f-8bdf-44ff-bfd0-998048d69592,no,0.90234375,0.03955078,0.057617188
0139f196-ced7-49bb-a081-55ddeb88a2e6,intrinsic,0.0032043457,0.890625,0.10644531
013db737-b4ea-47d0-b58c-e446e0bef9a4,extrinsic,0.005584717,0.053222656,0.94140625
0144bfa0-6568-4b29-a613-79cc1e3236bc,no,0.96484375,0.022705078,0.01373291
0144db13-2c43-475e-8c37-4eb0bbf223a2,extrinsic,0.0028839111,0.032958984,0.96484375
016835bc-cb66-4507-b061-e409a6246bee,intrinsic,0.005706787,0.9609375,0.032958984
0173fbc1-3cd9-49df-bd2d-f2aeea5d966e,intrinsic,0.0024108887,0.97265625,0.025878906
017e4326-983a-4bb2-8e9a-362c090dc83c,intrinsic,0.010620117,0.84375,0.14648438
017f5e55-2ef5-4d7a-a3a9-0d6417bd2035,no,0.9609375,0.029052734,0.009399414
0180fec5-a1f6-47e0-a935-7c4ca94de647,extrinsic,0.0074157715,0.020141602,0.97265625
018cc7e8-8369-4c7d-b962-a059c63e907e,no,0.9609375,0.025634766,0.01373291
019712b6-d669-4bb9-b429-80f778d57fa3,intrinsic,0.02758789,0.7109375,0.26171875
019ad101-54ae-45d2-a39a-d921d903ba9a,no,0.953125,0.028686523,0.01977539
019cc419-6bd2-40d0-bb0f-833b945b4b7b,no,0.9609375,0.017578125,0.020019531
019f1adc-f925-4634-afb5-9274c97977d5,extrinsic,0.0040893555,0.053222656,0.94140625
01ad9542-e3fe-45c6-b2db-f97bb84b850c,intrinsic,0.003250122,0.90234375,0.095214844
01c323c6-e210-45f8-b125-691bb3eb756e,extrinsic,0.09863281,0.076660156,0.82421875
01c3aaa0-d780-4ff6-9bdb-bc7ff5dbf1e2,intrinsic,0.0027770996,0.98828125,0.008544922
01c4649e-eb30-47cc-8e45-b7063a95a3dd,extrinsic,0.29296875,0.083984375,0.62109375
01c51470-c7a0-4129-a58f-a9e03c33cd9b,no,0.9453125,0.032470703,0.022216797
01c7f3eb-7c29-4c66-be1a-d8e2a5e2b3fb,no,0.9140625,0.03540039,0.051513672
01d6690e-7a67-4b29-a254-5ea7ea6d8a65,no,0.96484375,0.022705078,0.01373291
01dd50cf-4617-4244-a943-4bfeff3ba08c,intrinsic,0.75390625,0.07910156,0.16796875
01e96a99-5384-435c-82ad-3677f8952756,intrinsic,0.029296875,0.85546875,0.115722656
01ec730c-33f3-4583-b705-b79f04ebb9ec,intrinsic,0.012023926,0.83984375,0.14648438
01f06845-0068-4cb2-a5b1-7db13dfc97eb,no,0.984375,0.010925293,0.005859375
02218752-672d-4d14-a5df-c393a9eb67e4,intrinsic,0.003250122,0.90234375,0.095214844
02323e1c-8a08-45bd-a99e-86dbf42cd781,extrinsic,0.9921875,0.005218506,0.0014953613
02344feb-fa74-4b11-973c-9db4827e9dcc,intrinsic,0.0032043457,0.83203125,0.1640625
023ad0e2-7823-4412-835b-6f6196f3a9c7,no,0.96484375,0.020019531,0.013793945
02401e3a-2ace-45fb-b324-c4bfbe3410c7,intrinsic,0.010620117,0.84375,0.14648438
0245ea05-d5f8-4490-99b7-110d27233957,intrinsic,0.013427734,0.94140625,0.046875
0246525a-0073-4316-ac9c-997e3d0b1ea0,intrinsic,0.002960205,0.9296875,0.06738281
024a8f70-9f97-419b-97af-d9e5bfb1c34c,no,0.92578125,0.03173828,0.040771484
024ead25-70a4-446c-a012-25d64ab52225,intrinsic,0.0031280518,0.984375,0.012390137
0262f152-9c2c-4011-9668-803442f12495,extrinsic,0.008666992,0.10595703,0.88671875
027d8530-6dbb-4217-bf05-59cb555cff4e,no,0.83984375,0.100097656,0.060791016
027dd408-7b73-4e9e-a7db-4df56d5b85c9,intrinsic,0.006866455,0.8984375,0.09472656
