id,prob_no,prob_intrinsic,prob_extrinsic
0017c593-6648-4eb3-91ca-fd15a7c900d3,0.94140625,0.017211914,0.041259766
0028c3a9-1beb-4644-8047-e890aa8680c8,0.4609375,0.080078125,0.4609375
005197c9-45f9-44db-8442-5398d2f21999,0.002746582,0.020263672,0.9765625
005687f6-5ffe-4d0d-9838-c98434df57e1,0.03173828,0.040771484,0.92578125
006d47a4-4b66-4531-a747-97c6eb1e92f1,0.80859375,0.051757812,0.140625
006ee32b-6479-4fad-b719-5aa2c319e4a4,0.5234375,0.07080078,0.40625
00a1112d-5476-4afa-960f-1f208a49e0f6,0.0027313232,0.025878906,0.97265625
00d36f54-de32-466f-97b5-08cf143b444c,0.037353516,0.75,0.21484375
00eeec40-715f-4dd4-86d8-48f3cb873d81,0.97265625,0.010803223,0.01574707
00f85074-a1ae-43e7-8155-5c9ab912d459,0.006500244,0.029174805,0.96484375
0105439a-854d-4a46-8944-49ab889821d6,0.068359375,0.83203125,0.099609375
0109c301-0043-4786-8a75-2e1987e1ad10,0.0035247803,0.017944336,0.98046875
011ec816-82ef-49dd-bf6b-be1c1f7a221b,0.12695312,0.04663086,0.828125
015a0078-6e1c-45d0-823e-1acb883d77b7,0.0014801025,0.014038086,0.984375
018cc4f2-02fa-4fc2-9c60-f6d603113679,0.036621094,0.5703125,0.39257812
01c5f374-8330-407c-9b44-2655d84e9169,0.020629883,0.10449219,0.875
022033fb-7bfe-4922-9f5d-2d44d9f97245,0.0039367676,0.029174805,0.96875
022381b5-5178-4a86-9222-b5bdbf7d15b9,0.90625,0.03515625,0.057861328
02332e2f-061e-4869-a3a6-fb018b56d37c,0.08886719,0.84375,0.06933594
02339202-08d0-4072-b5d3-5ab9aa58b8da,0.0057373047,0.029174805,0.96484375
02662f9b-0e94-4e6f-8734-640a5803703e,0.78515625,0.0390625,0.17480469
02941ea8-daae-437e-98ce-174665f33a1d,0.0119018555,0.041503906,0.9453125
02a76345-c02f-494d-9c13-aa072c9281ef,0.0027313232,0.025878906,0.97265625
02fe6531-a688-4fa2-aae4-f5343b06f74e,0.004486084,0.025878906,0.96875
036ae86e-1e87-40dd-ad50-5095062bddad,0.100097656,0.83984375,0.060791016
036c42e2-b52a-4af1-9c60-85299f014993,0.625,0.040039062,0.33398438
0376b7ee-22b2-4947-93de-513a7133c2ea,0.92578125,0.021728516,0.052246094
038a7cab-5a8d-4dfa-b39c-42db1f5d6254,0.75,0.061523438,0.18945312
0395ab85-ea58-44df-84b9-edf4dc20f1b1,0.053222656,0.734375,0.2109375
03a57447-5f8a-441c-8fd1-0a954c6e5ce2,0.0119018555,0.041503906,0.9453125
03ab9f85-646e-4cc8-8147-3ebf17cf8065,0.0057373047,0.029174805,0.96484375
03e8318c-7669-477f-859e-e961cb91aa95,0.87890625,0.026611328,0.09277344
0430321c-d1aa-4b58-8ecd-912c17915d64,0.03149414,0.051757812,0.91796875
04359bfd-a6d6-459b-ae08-81b85d578558,0.080566406,0.86328125,0.05517578
04547ca9-728a-4f16-a1ed-2567d145b491,0.07763672,0.34765625,0.57421875
0468ded3-907e-4fba-9098-f706f468e733,0.75,0.061523438,0.18945312
04f14de9-4a41-448f-a3a1-a2e7231919e0,0.91796875,0.024414062,0.05859375
04fce7a7-c70d-4624-a943-cfebaad81f80,0.061523438,0.6640625,0.27539062
053d0526-ba1e-4ae4-8be3-1a3e8823c1e6,0.0050964355,0.022827148,0.97265625
056b9e12-5196-4c6b-899a-d8c11b421892,0.01361084,0.032714844,0.953125
05bfc4f0-4f19-42ce-9b76-5ff12c87759a,0.39453125,0.5078125,0.099609375
05fe4e7b-3ba8-4e02-96d4-39102a91e803,0.03112793,0.70703125,0.25976562
062cfb1d-b21f-4667-aefc-0f76f41c1d86,0.98046875,0.007507324,0.010925293
063c15b7-9b53-4dd9-8544-516681c2c314,0.62890625,0.26171875,0.109375
065b2b9a-a647-4297-bb81-ff8dcd459688,0.0049743652,0.04711914,0.94921875
065db26a-fbf3-4d11-8b75-5c5bb9bf0de1,0.002746582,0.020263672,0.9765625
067b5b0a-4694-401b-9116-e8d9c3b7a655,0.09765625,0.81640625,0.0859375
069d8545-2ece-4db3-b1c6-e1d50d9d22d8,0.0034942627,0.025878906,0.96875
06ad0de9-5d8f-4c68-9256-2593791953b3,0.3046875,0.5703125,0.12695312
06b3c043-30d9-43ee-9b25-2ee929a3868f,0.095214844,0.796875,0.107910156
072c58c2-1f2f-4283-b0b7-704bcc1b030e,0.009399414,0.029052734,0.9609375
07a8272d-6a70-4a11-b49a-3d154a8a7b17,0.87890625,0.030029297,0.092285156
07b640f6-b0ba-484d-92a7-864964a4b640,0.921875,0.027832031,0.052001953
07f16b9d-66e3-4922-afaa-7318afb514de,0.96484375,0.013793945,0.020019531
08667c0b-3878-4c55-83dc-f041d25ad91b,0.71875,0.046142578,0.23339844
08887215-39ff-40db-a99a-ac8eba4a29e1,0.04736328,0.83984375,0.11376953
08af4839-15ac-4272-9dcf-b93a08868c0d,0.96484375,0.013793945,0.020019531
08b68313-494b-4fb7-8f79-e8218c07db52,0.011291504,0.37304688,0.6171875
08ba582c-fa16-400b-a2b1-3058aaa9c1f3,0.71875,0.046142578,0.23339844
08ca2951-b138-4dfd-a224-ca4658c66ad9,0.07470703,0.80078125,0.123046875
08d532f8-2853-4c67-a5d0-8dd10364306d,0.02722168,0.42578125,0.546875
08ebc966-4104-4fbd-a21d-5fa8ab4fd835,0.62109375,0.045166016,0.33203125
08f05fad-237d-443d-ba30-70b328ee5d5d,0.005126953,0.020263672,0.9765625
09b8bb20-73cf-406d-9555-92893d1e7707,0.8984375,0.03491211,0.06542969
0a2ac10f-04ae-48a1-96c2-da84e2272abb,0.0065307617,0.022827148,0.96875
0a2b76c4-7e0c-4610-943e-6b473b62ae3e,0.296875,0.07519531,0.62890625
0a5204da-d4f9-417a-930e-fc2ef876b376,0.81640625,0.040771484,0.14160156
0a8d411f-5f01-454c-8820-c1f5e380b72d,0.15527344,0.057128906,0.7890625
0a9026bf-04c7-48b2-b034-29f9e8b20269,0.13476562,0.7734375,0.092285156
0a91bf62-6a71-493c-b09c-efb5f344b077,0.30664062,0.5078125,0.18652344
0afbc01f-6cd5-425e-b4d2-804109a3ebfd,0.0050964355,0.025878906,0.96875
0b0a210e-9d37-4505-a3ac-36961782bab0,0.079589844,0.859375,0.06225586
0b1308a5-2af2-4c5b-9605-634158eee630,0.12451172,0.4921875,0.3828125
0b15e0e7-f9d1-4179-a978-9a5b43f9081e,0.002746582,0.017944336,0.98046875
0b216ece-b48f-4548-b19c-893e97b78b12,0.057128906,0.7890625,0.15527344
0b69d0ef-cb7d-40b0-8906-b368b1ea0dfa,0.103515625,0.765625,0.1328125
0b700f42-7cb0-4020-ab98-ab8f4630ff0c,0.9765625,0.0095825195,0.01574707
0b78143e-f547-47ef-8865-e8efa8fa8047,0.021606445,0.05883789,0.91796875
0b8270a0-6391-445d-ae0a-188bc0e839ab,0.0014801025,0.01586914,0.984375
0b8e65b7-8bb3-42d7-ab09-dfa996eb5baf,0.06347656,0.875,0.06347656
0b909bc4-5597-485b-834e-f0956068e6f1,0.022094727,0.036621094,0.94140625
0b98feaf-6558-4d3a-9ed4-d157a6652ef4,0.71484375,0.16015625,0.12451172
0baaafbb-b6ae-4e40-a49c-4260a9af5524,0.060058594,0.828125,0.111816406
0bbfed2b-73e5-4cec-8f8a-de2c77a30d79,0.44140625,0.059570312,0.5
0be62c49-1aff-4070-8287-43a2fca83aa6,0.01361084,0.032714844,0.953125
0bedd8c0-1db1-42f2-a37f-4f8ab7c9638f,0.0050354004,0.037109375,0.95703125
0c103c5a-f5f9-4ab1-be21-52ef7b421a91,0.083496094,0.79296875,0.12207031
0c195423-6cac-47fb-8762-a0365da2092c,0.095214844,0.107910156,0.796875
0c4e5950-53eb-4738-bf47-a11ece78844c,0.018432617,0.37109375,0.609375
0c66841a-3652-46c0-ae82-a261c9b37cf8,0.10644531,0.78515625,0.10644531
0c833f6c-0092-4a8e-b151-d9871737768d,0.03955078,0.057617188,0.90234375
0c83dc04-d834-45a1-b8cb-734667c176d2,0.07910156,0.8515625,0.06982422
0c8e2e52-5ef2-418a-aea0-55b62aec0fb9,0.0546875,0.75390625,0.19042969
0c8e7cc1-b0f4-4351-aedc-2430f74f01e5,0.008239746,0.037109375,0.953125
0ca7971e-0e35-4c4f-87fb-438291a128e7,0.44335938,0.44335938,0.11230469
0cbac74a-5294-4489-822f-3f777ce410b4,0.03466797,0.07324219,0.890625
0cd09b16-1ed0-474f-9caf-05b3b3478e1c,0.0034942627,0.025878906,0.96875
0cd2ed56-9e09-4245-ac0a-a99df3709122,0.063964844,0.88671875,0.050048828
0cddc0ab-7333-4abe-a0b9-5243aafb955a,0.0546875,0.75390625,0.19042969
0cffecec-9666-49d8-975a-8b6113381c4d,0.0039367676,0.032958984,0.96484375
0d277328-b789-42cc-b195-e925e1dc35a6,0.010620117,0.032714844,0.95703125
0d38e117-2047-4784-8ca3-8d21335dfaac,0.123046875,0.80078125,0.07470703
0d3caa7f-aa48-489d-94b6-6114b535178b,0.103515625,0.765625,0.1328125
0d5651a9-4adf-4e40-b911-77a2e829e4f3,0.92578125,0.027954102,0.046142578
