id,predict_label
b92d4a02-6d28-45f3-bd74-ad791ca812ad,no
51f65eb8-1cec-493b-b48d-1a5d1a37c457,extrinsic
f762579b-d76b-4f17-89d5-9bff7984acb0,no
f8795166-b951-4f07-ae04-3541cdf3ddce,no
716f767f-7edc-42d4-9687-67de2592c344,no
df080963-3638-433d-8414-4de11ff86f94,no
9de2f9ed-20ae-41d9-9792-3ce57266d4a1,no
a8df328d-a35e-4f7d-9f95-69fdfab2eb2d,no
4aa8b6e1-6ae7-4022-9e7f-ff3a1c33b425,extrinsic
bb0a872c-b069-424b-93fc-3d39afb7241a,no
dba3f64f-caab-45ae-9dd1-21e5afcd3df7,no
70d2c7d0-5e2c-462f-9893-2159517060f1,no
701e36c7-c44e-4e08-964e-cd89d8112bf9,no
08ba582c-fa16-400b-a2b1-3058aaa9c1f3,no
34f47b8c-c6e0-43b3-831a-b4f637d9d3ae,no
26f770d3-cfa5-46ef-bc9c-4e6738b26542,no
ad6c966b-2c4d-45ba-ba0b-99c08e39359a,no
0c833f6c-0092-4a8e-b151-d9871737768d,extrinsic
d2139976-6552-4824-beba-6101cd9acf10,no
85a4a28a-56d5-4c51-ac6e-d1e692070b84,no
bb429ef7-d2db-410d-9661-a71630135e5b,no
75633504-8beb-43d6-8984-17dbb7a534b2,no
e481d73a-fdad-4986-b885-f8b8eaf8b9a7,no
d80fd56d-3342-4a07-aaf1-5b1105ab53b4,no
0a2b76c4-7e0c-4610-943e-6b473b62ae3e,no
7ca439b8-2103-48d3-822b-4f3a496f50fc,no
c38fe6a9-2b19-4dce-b6c4-5f283751d7a0,no
1fc98a30-ada9-4d06-beca-0a740284983b,no
8d4f40eb-a145-42a3-921b-9ba5519daaf9,extrinsic
1aabd56e-d7c9-4868-b5e3-189553661a9d,no
a150a516-bd63-433f-940c-1f5d8cf4c7cf,no
fea14096-8368-46c1-9ce0-cc0891402804,no
4081e8dc-49c7-4f73-bb74-4b92f68b5f36,no
7c38b926-1ba6-4799-bae5-84c4ce74ae45,no
24bda96a-373d-4764-bc9b-b9df0ace4457,no
ed8dbd97-5643-4720-a20a-e6137c05e23d,no
675091e1-7b87-4175-835d-27ebff078789,no
9b66b7af-095d-4de0-88eb-16c4d3477cad,no
2b0054c7-ab6b-47de-bac2-1144f533438d,no
91ae39c4-f868-45de-97e4-26b512fe4042,no
